"Gene","Expression"
"AKT3",2886.4322
"AKTIP",1616.9336
"ALAD",2249.4696
"ALAS1",1329.7599
"ALAS2",117.0296
"ALB",10.2736
"ALCAM",2713.5678
"ALDH16A1",147.8504
"ALDH18A1",645.4495
"ALDH1A1",1666.1083
"ALDH1A2",58.5148
"ALDH1A3",167.1647
"ALDH1B1",356.8956
"ALDH1L1",1970.7426
"ALDH1L2",234.9525
"ALDH2",11067.7834
"ALDH3A1",4.4668
"ALDH3A2",1298.0458
"ALDH3B1",113.9028
"ALDH3B2",0
"ALDH4A1",2321.8314
"ALDH5A1",3517.1413
"ALDH6A1",2050.7917
"ALDH7A1",2673.8135
"ALDH8A1",31.7141
"ALDH9A1",2240.9827
"ALDOA",31780.2345
"ALDOB",19.2071
"ALDOC",31750.3071
"ALG10B",143.3836
"ALG10",44.2211
"ALG11",6.7002
"ALG12",176.4377
"ALG13",423.0039
"ALG14",107.2027
"ALG1L2",0.4511
"ALG1L",3.0955
"ALG1",403.8459
"ALG2",315.3546
"ALG3",262.1999
"ALG5",243.4394
"ALG6",101.3959
"ALG8",310.8878
"ALG9",503.4059
"ALKBH1",148.297
"ALKBH2",204.5784
"ALKBH3",230.9324
"ALKBH4",431.1915
"ALKBH5",2368.8219
"ALKBH6",197.4316
"ALKBH7",475.7119
"ALKBH8",182.6912
"ALK",113.0095
"ALLC",0.8934
"ALMS1P",5.8068
"ALMS1",327.4149
"ALOX12B",36.6276
"ALOX12P2",12.507
"ALOX12",6.2535
"ALOX15B",49.5812
"ALOX15",1.34
"ALOX5AP",108.096
"ALOX5",57.1748
"ALOXE3",63.4283
"ALPI",0
"ALPK1",56.2814
"ALPK2",1.34
"ALPK3",171.0776
"ALPL",479.732
"ALPPL2",0
"ALPP",0
"ALS2CL",61.1949
"ALS2CR11",2.6801
"ALS2CR12",5.3601
"ALS2CR4",867.895
"ALS2CR8",321.608
"ALS2",1258.7381
"ALX1",0
"ALX3",28.5874
"ALX4",2.2334
"AMAC1L2",0.4467
"AMAC1L3",0.8934
"AMAC1",0
"AMACR",296.1474
"AMBN",0
"AMBP",0.4467
"AMBRA1",991.6248
"AMD1",2841.3177
"AMDHD1",10.2736
"AMDHD2",173.244
"AMELX",0
"AMELY",0
"AMFR",3061.9765
"AMHR2",0.4467
"AMH",4.9135
"AMICA1",14.2937
"AMIGO1",917.4763
"AMIGO2",106.756
"AMIGO3",79.5087
"AMMECR1L",436.4042
"AMMECR1",57.1748
"AMN1",904.0759
"AMN",0.8934
"AMOTL1",923.7298
"AMOTL2",1470.4634
"AMOT",2307.9844
"AMPD1",0
"AMPD2",3094.584
"AMPD3",491.7923
"AMPH",3915.1312
"AMTN",0
"AMT",226.7694
"AMY1A",3.5734
"AMY2A",8.4869
"AMY2B",279.8526
"AMZ1",210.3853
"AMZ2P1",592.7415
"AMZ2",1890.3406
"ANAPC10",83.9754
"ANAPC11",920.603
"ANAPC13",1339.7744
"ANAPC16",861.1949
"ANAPC1",549.8604
"ANAPC2",1049.2462
"ANAPC4",331.8816
"ANAPC5",2411.6136
"ANAPC7",1148.4087
"ANGEL1",890.2289
"ANGEL2",723.6181
"ANGPT1",33.0542
"ANGPT2",67.0017
"ANGPT4",3.1267
"ANGPTL1",130.8766
"ANGPTL2",1464.6566
"ANGPTL3",0
"ANGPTL4",257.7331
"ANGPTL5",0.4467
"ANGPTL6",14.526
"ANGPTL7",1.7867
"ANG",16.3439
"ANK1",829.9274
"ANK2",15635.5109
"ANK3",4252.8197
"ANKAR",20.1005
"ANKDD1A",267.1133
"ANKFN1",33.0542
"ANKFY1",2260.1898
"ANKHD1-EIF4EBP3",73.8358
"ANKHD1",1419.3412
"ANKH",3671.6918
"ANKIB1",1594.1932
"ANKK1",6.2535
"ANKLE1",17.4204
"ANKLE2",917.9229
"ANKMY1",177.7778
"ANKMY2",990.2848
"ANKRA2",296.1474
"ANKRD10",1029.3021
"ANKRD11",3161.8716
"ANKRD12",1222.1106
"ANKRD13A",667.7834
"ANKRD13B",672.6968
"ANKRD13C",744.6119
"ANKRD13D",853.1547
"ANKRD16",295.254
"ANKRD17",2624.679
"ANKRD19",115.6896
"ANKRD1",1.7867
"ANKRD20A3",34.8409
"ANKRD20A4",5.8068
"ANKRD20B",22.3339
"ANKRD22",4.9135
"ANKRD23",60.3015
"ANKRD24",930.4299
"ANKRD26P1",0
"ANKRD26",381.9095
"ANKRD27",574.8744
"ANKRD28",1063.9866
"ANKRD29",256.8398
"ANKRD2",17.4204
"ANKRD30A",0
"ANKRD30B",8.0402
"ANKRD31",2.6801
"ANKRD32",225.1256
"ANKRD33",3.5734
"ANKRD34A",892.0156
"ANKRD34B",13.4003
"ANKRD34C",145.1703
"ANKRD35",210.3853
"ANKRD36BP1",39.7543
"ANKRD36B",21.4405
"ANKRD36",253.2663
"ANKRD37",126.0972
"ANKRD39",264.4333
"ANKRD40",2153.8805
"ANKRD42",453.8247
"ANKRD43",758.9056
"ANKRD44",76.3819
"ANKRD45",86.2088
"ANKRD46",1935.6471
"ANKRD49",138.9168
"ANKRD50",558.794
"ANKRD52",1931.8816
"ANKRD53",2.2334
"ANKRD54",547.627
"ANKRD55",71.9151
"ANKRD56",350.1954
"ANKRD57",130.4299
"ANKRD58",3.5734
"ANKRD5",34.8409
"ANKRD6",639.2004
"ANKRD7",2.2334
"ANKRD9",129.9832
"ANKS1A",1027.359
"ANKS1B",2431.2674
"ANKS3",401.1167
"ANKS4B",2.6801
"ANKS6",424.7906
"ANKZF1",525.2931
"ANLN",2101.1725
"ANO10",541.3735
"ANO1",37.9676
"ANO2",8.0402
"ANO3",744.1653
"ANO4",331.435
"ANO5",693.6907
"ANO6",334.5617
"ANO7",27.694
"ANO8",1006.8118
"ANO9",0.4467
"ANP32A",1821.9989
"ANP32B",918.3696
"ANP32C",4.9135
"ANP32D",0.8934
"ANP32E",1370.8543
"ANPEP",40.201
"ANTXR1",1227.024
"ANTXR2",87.9955
"ANTXRL",1.7867
"ANUBL1",80.8487
"ANXA10",0
"ANXA11",1727.3032
"ANXA13",3.1267
"ANXA1",166.6108
"ANXA2P1",5.8068
"ANXA2P2",59.8548
"ANXA2P3",1.7867
"ANXA2",154.1039
"ANXA3",169.7376
"ANXA4",300.1675
"ANXA5",1397.6549
"ANXA6",8467.6717
"ANXA7",2705.081
"ANXA8L1",0
"ANXA8L2",0.8934
"ANXA8",3.5734
"ANXA9",28.5874
"AOAH",32.1608
"AOC2",37.0743
"AOC3",32.1608
"AOX1",6.2535
"AOX2P",0
"AP1AR",563.2607
"AP1B1",3740.4802
"AP1G1",2149.4137
"AP1G2",670.5796
"AP1M1",1859.5198
"AP1M2",4.0201
"AP1S1",1919.3747
"AP1S2",881.742
"AP1S3",40.201
"AP2A1",4590.3875
"AP2A2",3995.5332
"AP2B1",12107.6494
"AP2M1",14362.4791
"AP2S1",1532.5516
"AP3B1",544.947
"AP3B2",2872.1385
"AP3D1",3894.1374
"AP3M1",737.0184
"AP3M2",2407.5935
"AP3S1",1029.1457
"AP3S2",2251.6628
"AP4B1",378.6845
"AP4E1",220.2122
"AP4M1",265.6884
"AP4S1",239.866
"APAF1",596.7616
"APBA1",3609.1569
"APBA2",4816.5271
"APBA3",121.4964
"APBB1IP",130.8766
"APBB1",9186.3763
"APBB2",1615.6337
"APBB3",869.6817
"APC2",5057.5902
"APCDD1L",0.4467
"APCDD1",1954.6622
"APCS",0
"APC",5948.8554
"APEH",1463.7633
"APEX1",1959.129
"APEX2",194.3049
"APH1A",1692.909
"APH1B",640.9827
"API5",2115.0195
"APIP",215.33
"APITD1",198.8565
"APLF",18.7605
"APLNR",519.4863
"APLN",764.2658
"APLP1",12969.2909
"APLP2",14217.7554
"APOA1BP",1068.0067
"APOA1",1.7867
"APOA2",0
"APOA4",0
"APOA5",0.4467
"APOB48R",28.5874
"APOBEC1",0
"APOBEC2",3.1267
"APOBEC3A",6.2535
"APOBEC3B",4.0201
"APOBEC3C",14.7404
"APOBEC3D",3.1267
"APOBEC3F",16.9738
"APOBEC3G",15.6337
"APOBEC3H",0.4467
"APOBEC4",0
"APOB",12.507
"APOC1P1",0
"APOC1",851.8146
"APOC2",183.1379
"APOC3",0
"APOC4",0.4467
"APOD",2721.1614
"APOE",20785.7063
"APOF",0.4467
"APOH",0.4467
"APOL1",105.8626
"APOL2",2093.1323
"APOL3",189.8381
"APOL4",11.6136
"APOL5",2.2334
"APOL6",204.1318
"APOLD1",2886.8788
"APOM",43.3277
"APOOL",206.8118
"APOO",594.0815
"APPBP2",1700.9492
"APPL1",1330.2066
"APPL2",1087.6605
"APP",44619.5422
"APRT",347.0687
"APTX",437.2976
"AQP10",0
"AQP11",101.3959
"AQP12A",1.34
"AQP12B",7.1468
"AQP1",3946.8855
"AQP2",0
"AQP3",26.354
"AQP4",19727.9732
"AQP5",14.2937
"AQP6",50.4746
"AQP7P1",0.8934
"AQP7P3",0
"AQP7",4.4668
"AQP8",1.7867
"AQP9",67.895
"AQPEP",4.0201
"AQR",476.6052
"ARAF",309.5477
"ARAP1",1362.3585
"ARAP2",1418.6488
"ARAP3",129.5366
"ARCN1",2783.6963
"ARC",791.5131
"AREG",4.0201
"ARF1",7639.9777
"ARF3",14123.9531
"ARF4",1952.8755
"ARF5",3177.6214
"ARF6",838.861
"ARFGAP1",2257.5098
"ARFGAP2",2886.4322
"ARFGAP3",607.4819
"ARFGEF1",1194.4433
"ARFGEF2",2090.0056
"ARFIP1",343.4953
"ARFIP2",1228.8107
"ARFRP1",762.4791
"ARG1",4.9135
"ARG2",376.4511
"ARGFXP2",0
"ARGFX",0
"ARGLU1",2064.0983
"ARHGAP10",109.4361
"ARHGAP11A",49.1346
"ARHGAP11B",3.1267
"ARHGAP12",913.0095
"ARHGAP15",8.9336
"ARHGAP17",403.3501
"ARHGAP18",93.8023
"ARHGAP19",235.1893
"ARHGAP1",2012.7303
"ARHGAP20",505.6393
"ARHGAP21",6445.5611
"ARHGAP22",212.6186
"ARHGAP23",3089.6706
"ARHGAP24",752.2055
"ARHGAP25",138.4701
"ARHGAP26",3107.5377
"ARHGAP27",209.9386
"ARHGAP28",30.3741
"ARHGAP29",356.8956
"ARHGAP30",113.0095
"ARHGAP31",957.6773
"ARHGAP32",4493.1323
"ARHGAP33",1533.8917
"ARHGAP36",201.005
"ARHGAP39",780.3462
"ARHGAP42",150.0838
"ARHGAP4",181.7979
"ARHGAP5",2869.9051
"ARHGAP6",58.5148
"ARHGAP8",19.569
"ARHGAP9",116.5829
"ARHGDIA",3943.7186
"ARHGDIB",484.1988
"ARHGDIG",1816.8755
"ARHGEF10L",1200.67
"ARHGEF10",628.029
"ARHGEF11",2660.8599
"ARHGEF12",5205.5835
"ARHGEF15",60.7482
"ARHGEF16",27.694
"ARHGEF17",3858.4031
"ARHGEF18",1060.8599
"ARHGEF19",11.1669
"ARHGEF1",654.383
"ARHGEF2",2676.4936
"ARHGEF33",66.1083
"ARHGEF35",6.7002
"ARHGEF37",763.3724
"ARHGEF38",0
"ARHGEF3",1898.3808
"ARHGEF4",6037.7443
"ARHGEF5",12.507
"ARHGEF6",1324.3998
"ARHGEF7",4381.9095
"ARHGEF9",5970.2959
"ARID1A",1726.8565
"ARID1B",1337.8001
"ARID2",304.1876
"ARID3A",18.3138
"ARID3B",43.7744
"ARID3C",4.0201
"ARID4A",692.7973
"ARID4B",856.2814
"ARID5A",353.7688
"ARID5B",1144.8353
"ARIH1",1365.9408
"ARIH2",1823.7856
"ARL10",105.8626
"ARL11",11.6136
"ARL13A",1.7867
"ARL13B",119.263
"ARL14",0
"ARL15",312.2278
"ARL16",573.981
"ARL17A",57.7063
"ARL17B",0.5717
"ARL1",1876.4936
"ARL2BP",1357.0073
"ARL2",1897.4874
"ARL3",1984.1429
"ARL4A",517.6996
"ARL4C",1704.9693
"ARL4D",327.8615
"ARL5A",629.3691
"ARL5B",134.45
"ARL5C",1.34
"ARL6IP1",12311.3345
"ARL6IP4",2079.2853
"ARL6IP5",4095.5891
"ARL6IP6",244.3328
"ARL6",226.9123
"ARL8A",2520.1563
"ARL8B",4500.7259
"ARL9",12.0603
"ARMC10",724.306
"ARMC1",781.2395
