"Gene","Expression"
"APOBEC1",0
"APOBEC2",1.5343
"APOBEC3A",0.7672
"APOBEC3B",3.8358
"APOBEC3C",41.4269
"APOBEC3D",7.2881
"APOBEC3F",31.8374
"APOBEC3G",40.6598
"APOBEC3H",1.9179
"APOBEC4",0
"APOB",5.7537
"APOC1P1",0.3836
"APOC1",1500.1918
"APOC2",336.7856
"APOC3",0
"APOC4",1.1507
"APOD",7640.583
"APOE",41506.7127
"APOF",0
"APOH",0
"APOL1",127.733
"APOL2",529.7277
"APOL3",147.6793
"APOL4",6.9045
"APOL5",0
"APOL6",359.8005
"APOLD1",1364.4035
"APOM",72.4971
"APOOL",138.4733
"APOO",300.3452
"APPBP2",1747.219
"APPL1",1606.4442
"APPL2",1871.1162
"APP",31356.3483
"APRT",632.1442
"APTX",569.2367
"AQP10",0
"AQP11",70.5792
"AQP12A",0
"AQP12B",0
"AQP1",1122.7465
"AQP2",0
"AQP3",4.9866
"AQP4",28119.6778
"AQP5",0.3836
"AQP6",104.7181
"AQP7P1",1.5343
"AQP7P3",0
"AQP7",4.9866
"AQP8",1.1507
"AQP9",0
"AQPEP",5.3702
"AQR",596.471
"ARAF",827.7714
"ARAP1",2597.2267
"ARAP2",2097.43
"ARAP3",153.0495
"ARCN1",2212.1212
"ARC",59.0717
"AREG",0
"ARF1",4996.5478
"ARF3",6073.6479
"ARF4",2545.8381
"ARF5",2062.5125
"ARF6",1217.1078
"ARFGAP1",2053.7016
"ARFGAP2",3037.2075
"ARFGAP3",818.1818
"ARFGEF1",1070.5792
"ARFGEF2",929.4208
"ARFIP1",810.1266
"ARFIP2",888.761
"ARFRP1",757.5758
"ARG1",0.3836
"ARG2",97.0541
"ARGFXP2",0.7672
"ARGFX",0
"ARGLU1",4079.7852
"ARHGAP10",165.7077
"ARHGAP11A",73.6479
"ARHGAP11B",3.5175
"ARHGAP12",2021.4806
"ARHGAP15",14.5761
"ARHGAP17",947.8328
"ARHGAP18",52.5508
"ARHGAP19",526.3445
"ARHGAP1",2932.4895
"ARHGAP20",65.9762
"ARHGAP21",5745.3011
"ARHGAP22",607.9785
"ARHGAP23",3230.1496
"ARHGAP24",233.6018
"ARHGAP25",137.3226
"ARHGAP26",597.2382
"ARHGAP27",216.7242
"ARHGAP28",60.6061
"ARHGAP29",360.1841
"ARHGAP30",214.0391
"ARHGAP31",1591.4845
"ARHGAP32",1487.9171
